course_id1,course_name,course_duration_in_min,course_description,course_status,course_rbp,course_cne_available,course_cme_available
CRS_793739569b8d,Expertenstandard - Kurs Chronische Wunden für ambulante Pflegeeinrichtungen,45.0,"Der Kurs vermittelt die Kernaussagen des Expertenstandards „Pflege von Menschen mit chronischen Wunden“.
",ARCHIVED,1,false,false
CRS_70a5795da6de,Lernen in der Praxis mithilfe von Lernmodellen unterstützen,60.0,In diesem Kurs lernen Sie unterschiedliche Lerntheorien- und Lernmodelle am Beispiel der Praxisanleitung kennen.,RELEASED,1,false,false
CRS_a941ec0f9ea8,Prävention von Infektionen durch ZVK bei Kindern und Jugendlichen im Krankenhaus - KRINKO,30.0,"Wissen zu Risikofaktoren, typischen Warnzeichen und Maßnahmenbündeln der Infektionsprävention bei zentralen Gefäßkathetern. ",RELEASED,null,true,false
CRS_76a9eca75244,Pro on the Go - Tracheostoma: Pflegen und die Innenkanüle wechseln,15.0,"Dieser Kurs vermittelt beruflich Pflegenden, wie sie bei einer 2-teiligen Trachealkanüle die Innenkanüle wechseln und die Tracheostomapflege durchführen.",RELEASED,null,true,false
CRS_24882fcb2f37,Pneumonieprävention bei beatmeten Kindern und Jugendlichen im Krankenhaus,30.0,Beruflich Pflegende kennen die KRINKO-Empfehlung zur Prävention der beatmungsassoziierten Pneumonie und können sie bei Kindern und Jugendlichen anwenden.,ARCHIVED,null,true,false
CRS_a2414d3f69ba,Grundpflege - Körperwaschung,45.0,"Die Körperpflege ist sehr umfassend. Dieser Kurs legt den Schwerpunkt auf die Körperwaschung.
",RELEASED,1,false,false
CRS_5859f5ef0f5b,Gefahrstoffe in der Eingliederungshilfe,30.0,Dieser Kurs vermittelt Wissen über die Anforderungen in Bezug auf Lagerung und Handhabung von Gefahrstoffen in der Eingliederungshilfe.,RELEASED,null,false,false
CRS_9c1730675dbe,Wissen auf einen Klick - Brandklassen und Feuerlöscher in der stationären Pflege,0.0,Dieser Kurs beinhaltet ausschließlich ein kurzes Video. Ausführliche Kurse zum Thema gibt es im Kursportfolio. Es werden keine Lernzeiten attestiert.,RELEASED,null,false,false
CRS_fe846e4c228f,Fachwissen für Pflegehilfskräfte - Förderung der oralen Ernährung,45.0,Sie arbeiten als Pflegehilfskraft in einer Pflegeeinrichtung. Mehrere Bewohnerinnen und Bewohner haben Probleme beim Essen und Sie müssen Ihnen dabei helfen.,RELEASED,1,false,false
CRS_e537ad25b041,Gefahrstoffe und Umweltschutz Basisschulung - Lerneinheit,30.0,"Diese Lerneinheit vermittelt Wissen über Gefahrstoffe, den Umgang mit ihnen und den entsprechenden Sicherheitsvorkehrungen.",RELEASED,null,false,false
CRS_26471611322a,Gefahrstoffe für Pflegende und Funktionsdienst im Krankenhaus - Lerneinheit,30.0,Diese Lerneinheit vermittelt Wissen über die Anforderungen in Bezug auf Lagerung und Handhabung von Gefahrstoffen.,RELEASED,1,false,false
CRS_cce16079f54b,Brandschutz für administratives und nicht-pflegerisches Personal,45.0,"Dieser Kurs vermittelt Wissen darüber, wie Brände entstehen und wie Sie diese bekämpfen können.",RELEASED,1,false,false
CRS_4e2937270feb,Arbeitsschutz: Gesetzliche Grundlagen,30.0,In diesem Kurs erhalten Sie grundlegendes Wissen zum Arbeitsschutzsystem in Deutschland.,ARCHIVED,null,false,false
CRS_8cebe0aab005,Betreuungsrecht in der Eingliederungshilfe,30.0,"Der Kurs vermittelt, worum es im Betreuungsrecht geht, was rechtliche Betreuung bedeutet und wie Sie das Recht auf Selbstbestimmung unterstützen können. ",RELEASED,1,false,false
CRS_97df62e789d4,Arbeitsschutz - Kurs für Einrichtungen der Kinder- und Jugendhilfe,45.0,"Dieser Kurs vermittelt Ihnen, was Sie als Beschäftigte in der Kinder- und Jugendhilfe über Arbeitsschutz wissen müssen.",RELEASED,null,false,false
CRS_cc614415d184,Diabetische Fußulzera - Débridement,0.0,Die Gründe und Möglichkeiten werden für das Débridement erläutert und Optionen für die Wundbehandlung vorgestellt.,FILEMISSING,null,false,false
CRS_0c2da561bc17,Dekubitus - Beurteilung und Stadien,45.0,Beurteilung und Stadieneinteilung von Dekubitus in der akuten Versorgung.,RELEASED,null,false,false
CRS_768675454ec7,"Entlastung des diabetischen Fußes, Teil 1",15.0,"Gründe, Indikationen und Kontraindikationen für Entlastungsoptionen für diabetisches Fußulzera kennen",RELEASED,null,false,false
CRS_ed788addbb76,Expertenstandard Erhaltung und Förderung der Hautintegrität,60.0,In diesem Kurs lernen Sie den Expertenstandard zur Erhaltung und Förderung der Hautintegrität in der Pflege kennen.,RELEASED,1,true,false
CRS_a452f24e3af9,Fachwissen für Pflegehilfspersonen - Beziehungsgestaltung bei Demenz,60.0,"In diesem Kurs erfahren Pflegehilfspersonen mehr darüber, wie sie den Bedürfnissen von Menschen mit Demenz entgegenkommen können.",RELEASED,1,false,false
CRS_d323a7906b09,Pro on the Go - Verbandwechsel beim suprapubischen Katheter,15.0,"Dieser Kurs vermittelt Ihnen, wie Sie einen Verbandswechsel bei einem suprapubischen Katheter richtig durchführen.",RELEASED,null,true,false
CRS_bc705dfb835d,Arbeitsschutz bei der Verwendung von Leitern und Tritten (ohne Audio),30.0,"Der Kurs vermittelt theoretisches Wissen zur Auswahl, zum Einsatz und zum Umgang mit Leitern und Tritten.",RELEASED,null,false,false
